Codigo	Descricao	Descrição Inglês
14450108000	2 CH OPTICAL ENCODER 100 PPR 8MM	
11176104610	3 LAYER CYLINDRICAL SCREEN PACK	
12603262021	3/2 SGLSOLPITS PRRENTNOV-G1/4-24 VDC-JN	3/2 SGLSOLPITS PRRENTNOV-G1/4-24 VDC-JN
12603250123	3/2 SNGL SOLND VALVE DIA4-24VDC-SM	3/2 SNGL SOLND VALVE DIA4-24VDC-SM
12603022020	3/2 SNGLSOLND VALVE G1/4-JN DS245 SR61-WT0R0	3/2 SNGLSOLND VALVE G1/4-JN DS245 SR61-WT0R0
12603262021	3/2SGLSOLPITSPRRETNOV-G1/4-24VDC-JN	3/2SGLSOLPITSPRRETNOV-G1/4-24VDC-JN
14451019002	3CH HOLLOW SHAFT ENCONDER 1024PPR D19MM	3CH HOLLOW SHAFT ENCONDER 1024PPR D19MM
14501941000	3P ISO TRAN P380/440Y S230D 60H 1KVA	3P ISO TRAN P380/440Y S230D 60H 1KVA
14501942002	3P ISO TRAN P380/440Y S230D 60H 2KVA	3P ISO TRAN P380/440Y S230D 60H 2KVA
14081104500	3P VOLTAGE MON. RELAY 2CO 7UG818-1CA20	3P VOLTAGE MON. RELAY 2CO 7UG818-1CA20
12470070004	4 ROLETAS DE CERAMICA	4 GROOVE ROLLER CERAMIC 
12603232000	5/2 HAND LEVER VALVE G1/4-JN	5/2 HAND LEVER VALVE G1/4-JN
12603022020	5/2 SINGLE SOLENOID VALVE G1/4 24VDC	5/2 SINGLE SOLENOID VAlVE G1/4 24VDC
12603042000	5/3HANDLEVRVALVE-G1/4-JN	5/3HANDLEVRVALVE-G1/4-JN
	ABAFADOR 20DB ARCO DOBRAVEL AÇO 3M	
	ABAFADOR DE RUIDO	
	ABAFADOR INTER PRO 22DB CAMPER	
	ABAFADOR TIPO CONCHA	
	ABAFADOR TIPO CONCHA THOR DISTRAY	
	ABRAC.PLAST. 45,0CM 8,8MM 80,0KG 10X450	
	ABRACADEIRA	
	ABRAÇADEIRA 21X38	
	ABRAÇADEIRA DE PRESSÃO 13-19MM	
	ABRAÇADEIRA DE PRESSÃO 13X19	
	ABRAÇADEIRA DE PRESSÃO 13X23	
	ABRAÇADEIRA DE PRESSÃO 14-22MM	
	ABRAÇADEIRA DE PRESSÃO 16-27MM	
	ABRAÇADEIRA DE PRESSÃO 19X27	
	ABRAÇADEIRA DE PRESSÃO 20-32	
	ABRAÇADEIRA DE PRESSÃO 61X69	
	ABRAÇADEIRA DE PRESSÃO 64X83	
	ABRAÇADEIRA DE PRESSÃO 67-75	
	ABRAÇADEIRA FITA 19X27 ZINCADA	
5002717	ABRAÇADEIRA INCA 1/2	
	ABRAÇADEIRA MANGOTE 32MM 61X69	
	ABRAÇADEIRA METALICA	
	ABRAÇADEIRA NYLON 10X450MM	
	ABRAÇADEIRA NYLON 2,5X100MM	
	ABRAÇADEIRA NYLON 3,5X285MM	
	ABRAÇADEIRA NYLON 3,5X290	
	ABRAÇADEIRA NYLON 3,5X290MM	
	ABRAÇADEIRA NYLON 3,6X150MM	
	ABRAÇADEIRA NYLON 3,6X200MM	
	ABRAÇADEIRA NYLON 3X100MM	
	ABRAÇADEIRA NYLON 4,0X150MM	
	ABRAÇADEIRA NYLON 4,7X300MM	
	ABRAÇADEIRA NYLON 5,0X300MM	
	ABRAÇADEIRA NYLON 5X200MM	
	ABRAÇADEIRA NYLON 7,6X390MM	
	ABRAÇADEIRA NYLON 7,6X400 PRETA	
	ABRAÇADEIRA NYLON GRANDE	
	ABRAÇADEIRA NYLON MEDIA	
	ABRAÇADEIRA PRESSÃO 12X22	
	ABRAÇADEIRA PRESSÃO 9MM 14/22 CARB	
	ABRAÇADEIRA PRESSÃO MANGOTE 13-23MM C/5	
	ABRAÇADEIRA TIPO 'D' 3/4	
5003568	ABRAÇADEIRA TIPO D" CHAVETA "1"	
	ABRAÇADEIRA TIPO U 1/2	
5003813	ABRAÇADEIRA TIPO U 3/4	
	ABRAÇADEIRA TIPO U 6MM	
14103025000	AC VAR DRIVE IN1X200 OP3X200 2,5A	AC VAR DRIVE IN1X200 OP3X200 2,5A
14123230000	AC VAR DRIVE IN3X400 OP3X400 23A	AC VAR DRIVE IN3X400 OP3X400 23A
14123080000	AC VAR DRIVE IN3X400 OP3X400 8A	AC VAR DRIVE IN3X400 OP3X400 8A
